Country latitude	longitude	distance_from_france	is_from_france	alim_ssssgrp_nom_fr	alim_ssgrp_nom_fr	alim_grp_nom_fr	Nb_scans	Nb_unique_scans
Austria	47.2	13.2	862.1558593416753	0	Autre biscuits sucrés	biscuits sucrés	produits sucrés	44	23.0
Austria	47.2	13.2	862.1558593416753	0	Autre confiseries non chocolatées	confiseries non chocolatées	produits sucrés	2	1.0
Austria	47.2	13.2	862.1558593416753	0	Autre glaces	glaces	glaces et sorbets	1	1.0
Austria	47.2	13.2	862.1558593416753	0	Autre petits pots salés et plats infantiles	petits pots salés et plats infantiles	aliments infantiles	13	8.0
Austria	47.2	13.2	862.1558593416753	0	Autre pommes de terre et autres tubercules	pommes de terre et autres tubercules	fruits, légumes, légumineuses et oléagineux	2	2.0
Austria	47.2	13.2	862.1558593416753	0	Autre salades composées et crudités	salades composées et crudités	entrées et plats composés	0	0.0
Austria	47.2	13.2	862.1558593416753	0	boissons rafraîchissantes lactées	boissons sans alcool	eaux et autres boissons	129	89.0
Austria	47.2	13.2	862.1558593416753	0	boissons rafraîchissantes sans alcool	boissons sans alcool	eaux et autres boissons	10	6.0
Austria	47.2	13.2	862.1558593416753	0	boissons végétales	boissons sans alcool	eaux et autres boissons	103	58.0
Austria	47.2	13.2	862.1558593416753	0	boissons à reconstituer	boissons sans alcool	eaux et autres boissons	380	108.0
Austria	47.2	13.2	862.1558593416753	0	desserts végétaux	produits laitiers frais et assimilés	produits laitiers et assimilés	47	36.0
Austria	47.2	13.2	862.1558593416753	0	fromages blancs	produits laitiers frais et assimilés	produits laitiers et assimilés	43	30.0
Austria	47.2	13.2	862.1558593416753	0	fromages à pâte molle	fromages et assimilés	produits laitiers et assimilés	7	5.0
Austria	47.2	13.2	862.1558593416753	0	fromages à pâte persillée	fromages et assimilés	produits laitiers et assimilés	0	0.0
Austria	47.2	13.2	862.1558593416753	0	fruits crus	fruits	fruits, légumes, légumineuses et oléagineux	2	1.0
Austria	47.2	13.2	862.1558593416753	0	fruits et leurs produits de la Martinique	fruits	fruits, légumes, légumineuses et oléagineux	3	1.0
Austria	47.2	13.2	862.1558593416753	0	fruits et leurs produits de la Réunion	fruits	fruits, légumes, légumineuses et oléagineux	37	28.0
Austria	47.2	13.2	862.1558593416753	0	herbes séchées	herbes	aides culinaires et ingrédients divers	6	4.0
Austria	47.2	13.2	862.1558593416753	0	jambons secs et crus	charcuteries et assimilés	viandes, œufs, poissons et assimilés	6	4.0
Austria	47.2	13.2	862.1558593416753	0	jus	boissons sans alcool	eaux et autres boissons	7	4.0
Austria	47.2	13.2	862.1558593416753	0	liqueurs et alcools	boisson alcoolisées	eaux et autres boissons	0	0.0
Austria	47.2	13.2	862.1558593416753	0	légumes séchés ou déshydratés	légumes	fruits, légumes, légumineuses et oléagineux	128	85.0
Austria	47.2	13.2	862.1558593416753	0	légumineuses fraîches	légumineuses	fruits, légumes, légumineuses et oléagineux	233	147.0
Austria	47.2	13.2	862.1558593416753	0	légumineuses sèches	légumineuses	fruits, légumes, légumineuses et oléagineux	5	4.0
Austria	47.2	13.2	862.1558593416753	0	pains	pains et assimilés	produits céréaliers	7	3.0
Austria	47.2	13.2	862.1558593416753	0	plats de céréales/pâtes	plats composés	entrées et plats composés	12	7.0
Austria	47.2	13.2	862.1558593416753	0	plats de légumes/légumineuses	plats composés	entrées et plats composés	241	161.0
Austria	47.2	13.2	862.1558593416753	0	plats de poisson et féculents	plats composés	entrées et plats composés	3	2.0
Austria	47.2	13.2	862.1558593416753	0	porc	viandes cuites	viandes, œufs, poissons et assimilés	35	24.0
Austria	47.2	13.2	862.1558593416753	0	sauces condimentaires	sauces	aides culinaires et ingrédients divers	10	8.0
Austria	47.2	13.2	862.1558593416753	0	sauces sucrées	sauces	aides culinaires et ingrédients divers	244	166.0
Austria	47.2	13.2	862.1558593416753	0	substituts de charcuteries pour végétariens	charcuteries et assimilés	viandes, œufs, poissons et assimilés	4	4.0
Austria	47.2	13.2	862.1558593416753	0	yaourts et spécialités laitières type yaourt	produits laitiers frais et assimilés	produits laitiers et assimilés	7	7.0
Azerbaijan	40.3936294	47.787250799999995	3716.042443125588	0	fruits crus	fruits	fruits, légumes, légumineuses et oléagineux	35	13.0
Azerbaijan	40.3936294	47.787250799999995	3716.042443125588	0	sauces condimentaires	sauces	aides culinaires et ingrédients divers	1	1.0
Bahamas	24.7736546	-78.0000547	7296.298355659793	0	boissons végétales	boissons sans alcool	eaux et autres boissons	5	3.0
Bahamas	24.7736546	-78.0000547	7296.298355659793	0	pâtés et terrines	charcuteries et assimilés	viandes, œufs, poissons et assimilés	48	30.0
Bangladesh	24.4768783	90.2932426	7951.561843418617	0	Autre pizzas, tartes et crêpes salées	pizzas, tartes et crêpes salées	entrées et plats composés	27	16.0
Bangladesh	24.4768783	90.2932426	7951.561843418617	0	Autre produits à base de poissons et produits de la mer	produits à base de poissons et produits de la mer	viandes, œufs, poissons et assimilés	0	0.0
